Country,StateCode,State,County,Flyway,Flock Type,Species,Avian Infuenza Subtype,Confirmation Date,Flock Size
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,15-Apr-15,"152,000"
United States,MN,Minnesota,Roseau,Mississippi,Commercial,Turkeys,EA/AM-H5N2,16-Apr-15,"26,000"
United States,IA,Iowa,Osceola,Mississippi,Backyard,Mixed Poultry,EA/AM-H5N2,12-May-15,pending
United States,WI,Wisconsin,Barron,Mississippi,Commercial,Turkeys,EA/AM-H5N2,16-Apr-15,"126,700"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,17-Apr-15,"23,000"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,17-Apr-15,"9,000"
United States,WI,Wisconsin,Juneau,Mississippi,Backyard,Mixed Poultry,EA/AM-H5N2,17-Apr-15,33
United States,MN,Minnesota,Wadena,Mississippi,Commercial,Turkeys,EA/AM-H5N2,20-Apr-15,"301,000"
United States,SD,South Dakota,Spink,Mississippi,Commercial,Turkeys,EA/AM-H5N2,20-Apr-15,"33,300"
United States,IA,Iowa,Osceola,Mississippi,Commercial,Chickens,EA/AM-H5N2,20-Apr-15,"3,800,000"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,20-Apr-15,"61,000"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,20-Apr-15,"5,000"
United States,IN,Indiana,Whitley,Mississippi,Backyard,Mixed Poultry,EA -H5N8,10-May-15,pending
United States,MN,Minnesota,Cottonwood,Mississippi,Commercial,Turkeys,EA/AM-H5N2,20-Apr-15,"7,500"
United States,MN,Minnesota,Stearns,Mississippi,Commercial,Turkeys,EA/AM-H5N2,21-Apr-15,"53,900"
United States,MN,Minnesota,Meeker,Mississippi,Commercial,Turkeys,EA/AM-H5N2,21-Apr-15,"10,700"
United States,MN,Minnesota,Meeker,Mississippi,Commercial,Turkeys,EA/AM-H5N2,21-Apr-15,"34,100"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,21-Apr-15,"130,400"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,21-Apr-15,"61,000"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,22-Apr-15,"62,600"
United States,MN,Minnesota,Stearns,Mississippi,Commercial,Turkeys,EA/AM-H5N2,22-Apr-15,"72,500"
United States,MN,Minnesota,Stearns,Mississippi,Commercial,Turkeys,EA/AM-H5N2,22-Apr-15,"28,600"
United States,MN,Minnesota,Pipestone,Mississippi,Backyard,Mixed Poultry,EA/AM-H5N2,22-Apr-15,150
United States,MN,Minnesota,Otter Tail,Mississippi,Commercial,Turkeys,EA/AM-H5N2,22-Apr-15,"34,500"
United States,MN,Minnesota,Meeker,Mississippi,Commercial,Turkeys,EA/AM-H5N2,22-Apr-15,"58,900"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,22-Apr-15,"34,500"
United States,IA,Iowa,O'Brien,Mississippi,Backyard,Ducks,EA/AM-H5N2,6-May-15,pending
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,22-Apr-15,"19,100"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,22-Apr-15,"62,600"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,23-Apr-15,"54,300"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,23-Apr-15,"36,900"
United States,MN,Minnesota,Clay,Mississippi,Commercial,Chickens,EA/AM-H5N2,23-Apr-15,"408,500"
United States,WI,Wisconsin,Chippewa,Mississippi,Commercial,Turkeys,EA/AM-H5N2,23-Apr-15,"56,500"
United States,IA,Iowa,Sac,Mississippi,Commercial,Turkeys,EA/AM-H5N2,24-Apr-15,"33,900"
United States,MO,Missouri,Lewis,Mississippi,Backyard,Mixed Poultry,EA/AM-H5N2,5-May-15,pending
United States,ND,North Dakota,LaMoure,Central,Commercial,Mixed Poultry,EA/AM-H5N2,24-Apr-15,"71,500"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,24-Apr-15,"67,000"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,24-Apr-15,"42,900"
United States,WI,Wisconsin,Jefferson,Mississippi,Commercial,Chickens,EA/AM-H5N2,24-Apr-15,"1,031,000"
United States,MN,Minnesota,Chippewa,Mississippi,Commercial,Turkeys,EA/AM-H5N2,24-Apr-15,"64,900"
United States,MN,Minnesota,Stearns,Mississippi,Commercial,Turkeys,EA/AM-H5N2,27-Apr-15,"26,900"
United States,IA,Iowa,Sioux,Mississippi,Commercial,Chickens,EA/AM-H5N2,27-Apr-15,"1,603,900"
United States,WI,Wisconsin,Barron,Mississippi,Commercial,Turkeys,EA/AM-H5N2,27-Apr-15,"83,300"
United States,MN,Minnesota,Swift,Mississippi,Commercial,Turkeys,EA/AM-H5N2,28-Apr-15,"18,000"
United States,MN,Minnesota,Steele,Mississippi,Commercial,Turkeys,EA/AM-H5N2,28-Apr-15,"82,900"
United States,MN,Minnesota,Stearns,Mississippi,Commercial,Turkeys,EA/AM-H5N2,28-Apr-15,"45,100"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,4-May-15,pending
United States,IA,Iowa,Sioux,Mississippi,Commercial,Chickens,EA/AM-H5N2,28-Apr-15,"3,660,000"
United States,IA,Iowa,Osceola,Mississippi,Commercial,Chickens,EA/AM-H5N2,28-Apr-15,"258,000"
United States,IA,Iowa,O'Brien,Mississippi,Commercial,Chickens,EA/AM-H5N2,28-Apr-15,"98,000"
United States,IA,Iowa,O'Brien,Mississippi,Commercial,Chickens,EA/AM-H5N2,28-Apr-15,"36,800"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,28-Apr-15,"8,400"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,28-Apr-15,"50,900"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,28-Apr-15,"4,200"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,28-Apr-15,"32,100"
United States,MN,Minnesota,Stearns,Mississippi,Commercial,Chickens,EA/AM-H5N2,29-Apr-15,"202,500"
United States,IA,Iowa,Buena Vista,Misssissippi,Commercial,Turkeys,EA/AM-H5N2,29-Apr-15,"36,400"
United States,IA,Iowa,Buena Vista,Mississippi,Commercial,Turkeys,EA/AM-H5N2,30-Apr-15,"25,700"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,30-Apr-15,"11,200"
United States,IA,Iowa,Buena Vista,Mississippi,Commercial,Turkeys,EA/AM-H5N2,30-Apr-15,"449,100"
United States,IA,Iowa,Buena Vista,Mississippi,Commercial,Chickens,EA/AM-H5N2,30-Apr-15,"40,800"
United States,WI,Wisconsin,Barron,Mississippi,Commercial,Turkeys,EA/AM-H5N2,30-Apr-15,"96,500"
United States,MN,Minnesota,Stearns,Mississippi,Commercial,Turkeys,EA/AM-H5N2,1-May-15,"20,500"
United States,MN,Minnesota,Stearns,Mississippi,Commercial,Turkeys,EA/AM-H5N2,1-May-15,"14,800"
United States,IA,Iowa,Sioux,Mississippi,Commercial,Chickens,EA/AM-H5N2,1-May-15,"165,200"
United States,IA,Iowa,Pocahontas,Mississippi,Commercial,Turkeys,EA/AM-H5N2,1-May-15,"16,700"
United States,MN,Minnesota,Otter Tail,Mississippi,Commercial,Turkeys,EA/AM-H5N2,1-May-15,"36,400"
United States,IA,Iowa,Kossuth,Mississippi,Commercial,Chickens,EA/AM-H5N2,1-May-15,"18,800"
United States,IA,Iowa,Clay,Mississippi,Commercial,Chickens,EA/AM-H5N2,1-May-15,"93,000"
